"city","sex","edu","married","worktime","ind","size","occ","status","age","fulltime","union","train","paytype","income","regular"
1,1,5,4,0,"H",1,9,2,72,2,1,2,6,80,2
1,1,5,2,29,"S",3,8,1,71,1,1,2,4,110,1
1,1,5,2,56,"N",3,9,1,71,1,1,1,4,165,2
1,1,5,2,32,"C",3,9,2,71,1,1,2,2,100,1
1,1,0,2,20,"I",1,9,3,70,2,1,2,2,25,2
1,1,1,2,84,"L",1,9,2,70,1,1,2,4,98,2
1,1,1,2,47,"I",4,8,1,71,1,1,2,4,140,1
1,1,1,2,53,"C",5,8,2,70,1,1,2,4,140,1
1,1,1,2,61,"F",1,9,2,70,1,1,2,4,150,1
1,1,1,2,76,"L",1,9,1,70,1,1,1,4,140,1
1,1,1,2,30,"C",1,9,3,71,2,1,2,6,45,2
1,1,1,2,30,"C",1,7,2,71,2,1,1,4,100,2
1,1,1,2,6,"F",1,7,3,71,2,1,2,2,46,2
1,1,2,2,32,"O",2,9,2,70,1,1,1,4,100,2
1,1,2,2,42,"I",1,9,2,70,1,1,2,4,50,1
1,1,2,2,63,"A",1,9,2,70,1,1,2,2,150,1
1,1,2,2,68,"L",6,9,2,71,1,1,1,4,140,2
1,1,2,2,72,"N",2,9,1,71,1,1,2,4,150,2
1,1,2,2,9,"Q",3,9,2,71,2,1,1,4,20,2
1,1,2,2,12,"N",1,9,2,71,2,1,2,4,40,2
1,1,2,3,50,"N",3,9,1,71,1,1,2,4,110,2
1,1,2,2,36,"N",2,9,2,71,1,1,2,4,80,2
1,1,3,2,42,"P",2,8,1,71,1,1,2,4,550,1
1,1,3,2,55,"C",2,7,1,70,1,1,1,4,270,1
1,1,3,2,55,"G",3,8,1,70,1,1,1,4,285,1
1,1,3,2,56,"N",3,9,1,71,1,1,1,1,130,2
1,1,3,2,66,"N",2,9,2,71,1,1,1,4,165,2
1,1,3,2,20,"Q",3,4,2,71,2,1,1,1,65,2
1,1,3,2,55,"L",2,8,1,71,1,1,2,4,145,2
1,1,3,2,40,"C",3,9,2,71,1,1,1,4,150,1
1,1,3,2,48,"Q",4,9,2,70,1,1,2,4,100,1
1,1,3,2,60,"L",1,9,3,71,1,1,2,2,110,1
1,1,3,2,72,"N",2,9,2,71,1,1,1,4,100,2
1,1,3,2,72,"N",3,9,1,71,1,1,2,4,170,2
1,1,3,2,5,"G",1,2,3,70,2,1,2,2,100,2
1,1,5,2,12,"Q",1,2,2,71,2,1,2,1,30,2
1,1,5,2,37,"M",3,1,1,70,1,1,2,5,1000,1
1,1,5,2,43,"S",1,2,1,71,1,1,2,4,80,1
1,1,5,2,45,"C",4,9,2,70,1,3,2,4,100,1
1,1,5,2,36,"N",2,7,1,71,1,4,1,4,210,2
1,1,5,2,9,"Q",3,9,2,70,2,2,1,2,20,2
