"city","sex","edu","married","age","worktime","ind","size","occ","status","fulltime","union","train","paytype","income","regular"
1,1,1,3,71,0,"O",4,9,2,2,1,2,1,27,2
1,1,1,2,71,16,"F",1,9,3,2,1,2,2,70,2
1,1,2,2,71,16,"F",3,9,3,1,1,2,2,100,2
1,1,2,2,71,32,"O",6,9,2,1,2,1,4,182,2
1,1,2,2,71,60,"N",1,9,1,1,1,1,4,160,2
1,1,2,2,72,72,"L",2,9,2,1,1,1,4,150,2
1,1,2,2,71,9,"Q",3,9,2,2,1,1,1,27,2
1,1,2,2,71,25,"S",1,9,2,2,1,2,4,30,2
1,1,2,2,72,18,"F",4,9,3,2,1,2,2,60,2
1,1,2,3,71,66,"H",5,8,1,1,4,1,4,120,2
1,1,3,2,72,50,"G",1,5,2,1,1,2,4,150,1
1,1,3,2,72,50,"N",3,9,2,1,1,2,4,171,2
1,1,3,2,72,16,"G",2,8,1,2,1,2,4,80,2
1,1,3,2,71,24,"L",1,9,2,2,1,2,4,90,2
1,1,3,2,72,4,"L",1,9,2,2,1,2,4,7,2
1,1,3,2,72,32,"H",3,9,2,1,1,2,4,150,1
1,1,3,2,71,42,"G",3,1,1,1,1,2,4,700,1
1,1,3,2,71,48,"N",2,9,1,1,1,1,4,160,2
1,1,3,2,72,48,"N",4,9,1,1,1,1,1,170,2
1,1,3,2,71,65,"N",1,9,1,1,1,1,4,150,2
1,1,5,2,72,32,"C",4,1,1,1,2,2,5,1000,1
1,1,5,2,72,72,"N",3,9,2,1,1,2,4,150,2
1,1,5,2,72,48,"C",5,3,2,1,1,2,4,145,1
1,1,5,2,72,60,"G",3,5,2,1,1,2,4,182,1
1,1,7,2,72,24,"S",1,2,1,2,1,2,4,150,2
1,1,0,2,71,30,"G",1,9,2,2,1,2,2,100,2
1,1,1,2,71,22,"G",1,9,3,1,1,2,6,20,1
1,1,1,2,71,29,"N",2,9,2,1,1,2,4,130,2
1,1,1,2,70,30,"F",2,9,3,1,1,2,2,170,2
1,1,1,2,71,40,"N",1,9,1,1,1,2,4,170,2
1,1,1,2,71,44,"G",1,7,3,2,1,2,2,50,2
1,1,1,2,71,72,"N",2,9,2,1,1,1,4,160,2
1,1,1,2,71,25,"N",1,7,2,2,1,2,4,98,2
1,1,1,2,71,36,"L",1,2,2,2,1,2,6,100,2
1,1,1,4,71,34,"F",1,7,3,2,1,2,2,180,2
1,1,1,1,71,50,"A",1,6,3,1,1,2,2,150,1
1,1,1,2,71,46,"N",2,9,2,1,1,2,4,165,2
1,1,2,2,70,30,"F",3,7,3,1,1,2,2,144,2
